id,Headline,Category,Date,realorfake
0,Survivors of Florida school shooting launch gun control push,Local News,2/20/2018 0:00,real
1,VW bid to delay first U.S. diesel emissions trial rejected,Local News,2/20/2018 0:00,real
2,Lawyer pleads guilty to lying to U.S. investigators in Russia probe,Local News,2/20/2018 0:00,real
3,Syria pro-government forces enter Afrin to aid Kurds against Turkey,Local News,2/20/2018 0:00,real
4,"More bombs hit Syria's Ghouta, death toll highest since 2013",Local News,2/20/2018 0:00,real
5,Bitcoin nearly doubles in value from year's low hit in early February,Local News,2/20/2018 0:00,real
6,Supreme Court snubs challenge to California gun waiting period,Local News,2/20/2018 0:00,real
7,"Wall Street winning streak ends as Walmart drags on Dow, S&P",Local News,2/20/2018 0:00,real
8,Student survivor in Florida puts her dreams on hold to demand change,Local News,2/20/2018 0:00,real
9,New corruption cases entangle Netanyahu aides,Local News,2/20/2018 0:00,real
10,Syria's Ghouta sees highest 48-hour toll since 2013 chemical attack: Observatory,Local News,2/20/2018 0:00,real
11,Judge denies AT&T access to White House correspondence on Time Warner deal,Local News,2/20/2018 0:00,real
12,Father who forgave son for family's murder asks Texas to spare his life,Local News,2/18/2018 0:00,real
13,Albertsons to buy Rite Aid as Amazon threat looms,Local News,2/20/2018 0:00,real
14,"Britain urges EU to work jointly on Brexit deal, won't undercut rivals",Local News,2/19/2018 0:00,real
15,Qualcomm deals blow to Broadcom's bid with sweetened NXP deal,Local News,2/20/2018 0:00,real
16,George Clooney to join Florida teens in gun control march on Washington,Local News,2/20/2018 0:00,real
17,"Walmart holiday-quarter profit drops, online struggles spook investors",Local News,2/20/2018 0:00,real
18,Pennsylvania top court redraws voting map in boost to Democrats,Local News,2/19/2018 0:00,real
19,South Korea launches WTO trade challenge against U.S. duties,Local News,2/20/2018 0:00,real
20,"Global stocks sink as bond yields, dollar regain traction",Local News,2/20/2018 0:00,real
21,Thomson Reuters says CEO Jim Smith to make full recovery after arrhythmia incident,Local News,2/20/2018 0:00,real
22,Exclusive: EU scraps border projects as 'Ukraine fatigue' grows,Local News,2/20/2018 0:00,real
23,Syrian state media says Turkey shells pro-government fighters,Local News,2/20/2018 0:00,real
24,Syrian state TV shows pro-government fighters enter Afrin,Local News,2/20/2018 0:00,real
25,"French foreign minister to head to Russia, Iran to discuss Syria",Local News,2/20/2018 0:00,real
26,"With medicine running out, Venezuelans with transplants live in fear",Local News,2/20/2018 0:00,real
27,Netanyahu confidants named as suspects in new corruption probe,Local News,2/20/2018 0:00,real
28,Philippine leader bans news site from covering his events over 'fake news',Local News,2/20/2018 0:00,real
29,"Several dozen Russian, ex-Soviet fighters wounded in Syria clash: Russia",Local News,2/20/2018 0:00,real
30,U.N. Syria envoy sees risk of 'second Aleppo' in Eastern Ghouta,Local News,2/20/2018 0:00,real
31,Russia's Lavrov calls for Syria-Turkey talks to resolve Afrin standoff - Ifax,Local News,2/20/2018 0:00,real
32,Turkey foiled Syrian move into Afrin after Putin talks: Erdogan,Local News,2/20/2018 0:00,real
33,"U.N. issues blank statement on Syria, says it has run out of words",Local News,2/20/2018 0:00,real
34,Bombing of Syria's eastern Ghouta kills 45: Observatory,Local News,2/20/2018 0:00,real
35,Britain does not want to undermine the EU after Brexit: Davis,Local News,2/20/2018 0:00,real
36,"Britain confident of securing Brexit deal, urges EU to work together",Local News,2/20/2018 0:00,real
37,"Relax and invest, Saudi prince tells investors after corruption crackdown",Local News,2/20/2018 0:00,real
38,"Head bowed, Florida shooting suspect returns to court for hearing",Local News,2/19/2018 0:00,real
39,Murdoch's Fox seeks to win bid approval by extending Sky News guarantee,Local News,2/20/2018 0:00,real
40,Japan's Sony to form alliance to build taxi-hailing system,Local News,2/19/2018 0:00,real
41,Britain and U.S. in talks over captured British Islamic State fighters: UK minister,Local News,2/20/2018 0:00,real
42,Uber CEO sees commercialization of flying taxis in 5-10 years,Local News,2/20/2018 0:00,real
43,Fashion firms dither over instant shopping on the catwalk,Local News,2/20/2018 0:00,real
44,Turkey warns Syrian army against helping Kurdish YPG in Afrin,Local News,2/19/2018 0:00,real
45,Turkey says unclear whether Syrian government forces will enter Afrin,Local News,2/20/2018 0:00,real
46,Russia looms large as U.S. election officials prep for 2018,Local News,2/19/2018 0:00,real
47,"Foreign ministers of Iran, Turkey and Russia to prepare Syria summit: TASS",Local News,2/19/2018 0:00,real
48,"Students plan protests, Washington march, to demand gun control after mass shooting",Local News,2/18/2018 0:00,real
49,"Iran cannot confirm missing plane found, freeze hampers search",Local News,2/19/2018 0:00,real
50,U.S. charges Russians with 2016 U.S. election tampering to boost Trump,Local News,2/16/2018 0:00,real
51,Oxfam says Haiti director admitted using prostitutes,Local News,2/19/2018 0:00,real
52,Russian alleged election interference not working: McMaster,Local News,2/17/2018 0:00,real
53,"All 65 passengers, crew feared dead in Iranian plane crash",Local News,2/18/2018 0:00,real
54,Trump blasts Oprah over 60 Minutes episode,Local News,2/19/2018 0:00,real
55,"Trump says FBI missed signs on Florida shooting due to Russia probe, draws criticism",Local News,2/18/2018 0:00,real
