,title,realfake
0,#2816: Clinton Pride’s 8(a) Pig Farm Bridge – Serco Zulu Server Snuff –Soros's Patented Voter Key,fake
1,#2817: Serco's Zulu Starnet Blackmail – Clinton 8(a) Pig Farm Bridge – Soros Patent Vote,fake
2,"Roger Stone update on Stop the Steal exit poll program - Globalist establishment creating false expectation of a close race using fake polls, then rigging voting machines to meet that expectation - Nationalistic, constitutional, free-market awakening - Rothschild, Soros, Hillary's chances of stealing the US election are shrinking by the day - The whole system is rigged and exposed, and the American people are fed up - The elitist deviants are panicking",fake
3,#2818: Serco's Zulu Bridge To Mumbai Pig Farm – Clinton 8(a) Patent – Obama Visa 9/11 Snuff,fake
4,Trump Advocates the American People's Control Over U.S. Government,fake
5,FBI Weiner Probe Reopens Hillary Clinton Investigation - Clinton Foundation Pay to Play for Israeli Pork Is Not Kosher - President Trump Will Make America Great Again #MAGA,fake
6,DOJ's Loretta Lynch Tried To Squash Comey's Letter To Congress,fake
7,"Scott Bennett, Whistleblower, U.S. Army Terrorist Threat Finance Analyst Under Dov Zakheim - A Gross Perversion of Justice - UBS Whistleblower Brad Birkenfeld Worked With the CIA's Edward Snowden - Terrorist Financing Banks UBS & HSBC Are Represented by Covington & Burling, Employer of Eric Holder, Lanny Breuer, Michael Chertoff, Roger Zakheim - Demand Accountability From Your Representatives!",fake
8,"Do Not Forgive the MSM; Alt-Media, Our Job Is Not Over",fake
9,Is it coming into clearer focus for Americans or not?,fake
10,Is This Why Comey Broke: A Stack Of Resignation Letters From Furious FBI Agents,fake
11,Why Hillary Clinton's Campaign Is Collapsing | True News,fake
12,#2820: Clinton 8(a) Pig Farm Servers – Boeing Bridge Of Pimps – Serco In-Flight Zulu Snuff,fake
13,Insiders Threaten to Expose Hillary's Pedophile Sex Ring!!!,fake
14,"How America’s Elections Are Hacked, Missing Link Discovered",fake
15,"Weiner Sings Like a Bird as Dickileak Provides Exit As Huma Sequestered by FBI at MOUNT WEATHER - After Huma's 65,000 Emails Found...No Longer Together",fake
16,Prime Minster John Key caught channeling millions of dollars of taxpayer's money to 'ethically compromised' Clinton Foundation,fake
17,Prime Minster John Key caught channeling millions of dollars of taxpayer's money to 'ethically compromised' Clinton Foundation,fake
18,An explanation for why the FBI re-opened Hillary's e-mails,fake
19,Who Is Peter Kadzik? The Clinton Ally and John Podesta's Very Close Friend Peter Kadzik Who Will Take Charge of DoJ's Hillary Clinton and Huma Abedin Email Probe,fake
