,unique_reals,real_counts
96,u,2948
672,trump,2107
183,says,1776
9,new,1278
2994,korea,1032
107,paid,1021
108,notice,1011
618,north,983
113,deaths,920
627,china,632
48,8217,611
74,review,555
500,russia,495
174,south,479
1468,house,463
1513,n,455
91,2016,447
192,deal,445
185,york,396
262,state,389
541,iran,376
671,donald,356
634,tax,353
478,may,348
212,bill,334
2842,court,316
1008,talks,313
434,police,298
16840,factbox,296
3133,senate,290
1149,fall,289
1423,white,285
4424,syria,279
34,clinton,278
543,sanctions,267
3518,calls,260
259,attack,252
403,two,245
304,government,245
18,dies,240
0,week,238
5115,exclusive,237
10,year,236
285,chief,232
697,sanders,232
197,leader,230
3005,nuclear,226
2621,vote,220
286,report,220
2026,plan,217
2446,republican,213
180,president,212
57,day,211
102,top,211
3268,russian,210
2247,say,209
16804,eu,206
277,back,205
810,military,205
11042,sources,202
81,oil,201
170,first,197
3827,billion,196
433,2,195
1049,home,195
3184,minister,194
696,bernie,194
33,hillary,193
558,iowa,193
936,turkey,193
1070,8216,192
90,1,190
1918,election,189
186,city,188
11101,myanmar,188
16854,pm,187
5773,missile,187
11173,jerusalem,183
2960,venezuela,183
2412,japan,183
1622,could,183
562,cruz,180
207,official,178
1711,war,177
15,million,176
1427,korean,175
7047,hurricane,175
3634,harvey,174
771,california,173
38,3,171
52,one,167
354,end,166
561,ted,164
160,man,162
1206,big,162
538,obama,161
16756,probe,161
913,debate,160
339,urges,158
806,saudi,158
214,case,158
587,ex,158
631,britain,158
2084,congress,156
623,security,155
297,texas,152
559,campaign,152
2688,crisis,150
1997,news,148
611,trade,146
690,killed,145
16806,brexit,143
6304,putin,143
2639,fashion,143
16828,uk,142
227,john,142
2377,move,142
3530,test,142
612,death,141
455,market,140
5824,catalan,139
2471,republicans,137
1697,wall,137
58,time,135
2653,islamic,135
446,mexico,135
3415,ban,134
50,world,134
809,israel,132
378,show,131
2614,puerto,131
2353,opposition,130
2148,take,129
10981,feb,129
3985,fight,129
1495,women,129
2295,amid,129
130,l,128
261,florida,128
217,set,128
963,foreign,128
523,years,127
436,twitter,127
3636,would,126
3895,officials,126
1486,power,126
1588,party,126
3838,media,125
626,attacks,125
783,still,124
2494,law,122
1942,democrats,122
121,c,122
2658,syrian,122
169,takes,121
2035,france,121
248,win,121
321,jan,120
991,high,120
2615,rico,120
2650,judge,120
3989,warns,119
2200,meeting,119
679,make,119
4976,hit,118
14510,zimbabwe,118
2041,help,118
2031,german,118
492,f,118
1000,london,118
30,chinese,117
3183,former,117
577,ahead,117
344,threat,116
1721,three,116
2037,aid,115
835,5,115
606,spain,115
109,memorials,115
218,return,115
972,street,115
556,rubio,114
19492,irma,113
2841,supreme,113
533,life,113
2955,000,113
1941,tells,112
1043,de,112
2500,senator,111
868,open,111
3763,support,111
17290,nafta,111
3261,apple,111
2315,germany,110
1615,go,110
834,p,110
501,plans,109
238,group,109
1600,10,109
777,despite,109
843,work,108
2698,david,108
2198,fed,107
1586,get,106
1809,call,106
17083,rohingya,106
1979,american,106
499,dead,105
2019,super,105
1925,4,105
497,shooting,105
1735,source,104
1913,briefing,104
2851,rights,104
2262,near,104
1431,race,104
1964,hampshire,104
524,fire,104
2043,lead,103
1061,season,102
3229,rules,102
1160,general,102
2885,data,102
4605,decision,101
2036,seeks,101
76,health,101
4431,leaders,100
3473,next,100
1891,states,100
338,merkel,99
163,family,99
16817,reuters,99
451,sales,99
2073,wins,99
458,rise,99
901,wants,98
2046,e,98
414,art,98
2827,battle,98
2191,catalonia,98
37,last,97
1252,j,97
555,marco,96
1917,seek,96
677,record,96
17213,tillerson,95
1601,long,95
753,anti,95
6126,army,94
2017,immigration,94
1992,special,94
5825,independence,94
891,border,94
1396,policy,93
1568,west,93
984,peace,93
930,visit,93
4148,push,93
2687,faces,93
932,defense,92
2476,poll,92
2510,face,92
2466,east,91
957,violence,91
2305,ties,91
1470,bank,91
3637,cut,91
1822,iraq,91
9271,xi,90
2390,makes,90
316,paris,90
749,g,90
1906,tv,90
685,uber,90
1766,meet,90
4015,british,90
269,justice,90
1522,must,90
5827,coalition,89
425,free,89
42,air,88
4373,bid,88
13456,rtw,88
7308,pressure,88
257,shares,88
11099,healthcare,87
2825,forces,87
2005,tech,87
2626,panel,87
1117,carolina,87
760,bowl,86
850,economy,86
2304,cuts,85
337,times,84
53,second,84
4267,administration,83
308,shows,83
320,listings,83
585,trial,83
576,look,83
223,sees,82
736,star,82
2003,daily,82
423,offers,82
3227,gets,82
175,africa,82
3805,charges,82
1664,business,82
2007,people,81
1483,vegas,81
2897,pay,81
2814,zika,81
5291,travel,81
5221,release,81
166,6,81
3786,start,81
1349,game,80
295,gun,80
457,claims,80
1092,washington,80
493,b,80
7048,storm,80
1877,political,80
816,without,80
167,men,80
2063,growth,79
6177,protests,79
1390,protest,79
947,bush,79
3673,global,79
17533,macron,79
4220,budget,79
1747,key,78
571,canada,78
1499,sexual,78
16750,ceo,78
959,right,78
1796,black,78
3773,percent,77
309,keep,77
1482,las,77
5657,facebook,77
54,video,77
3521,rally,77
2648,lawyer,76
1674,finds,76
1362,hits,76
1434,united,75
481,love,75
2463,ready,75
614,four,75
619,sea,75
366,debt,74
2756,turkish,74
2899,stocks,74
3646,use,73
914,behind,73
1010,speech,73
604,best,73
2399,post,73
2008,french,72
1033,el,72
17873,mugabe,72
2454,reports,72
341,see,71
5106,discuss,71
4667,agency,71
156,head,71
1779,old,71
8134,barcelona,71
4542,stop,70
832,role,70
2904,least,70
948,hopes,70
3451,lawmakers,70
1071,force,70
2243,presidential,70
575,investors,70
4041,8,69
4274,profit,69
376,children,69
2322,europe,69
2796,close,68
484,israeli,68
2531,prices,68
2690,program,68
1157,major,68
89,january,68
3062,democratic,68
1030,la,68
22,spending,68
232,brooklyn,68
680,office,68
9651,2018,67
2564,leave,67
2733,way,67
884,past,67
1400,final,67
325,music,67
1054,response,67
10169,obamacare,67
491,isis,67
1448,good,66
1542,embassy,66
2802,arrested,66
968,kills,66
1946,school,66
3289,student,66
769,risk,66
322,7,66
2633,officer,66
3317,iraqi,66
792,america,66
939,erdogan,66
245,jr,66
395,department,66
1590,issue,65
2607,board,65
2015,ad,65
1202,team,65
3405,action,65
6125,amazon,65
1748,change,65
2263,pakistan,65
1342,robert,65
181,paul,64
1616,five,64
265,orders,64
2683,stock,64
9450,kremlin,64
1597,public,64
317,museum,64
1195,red,64
201,winter,64
8577,legal,64
2248,future,63
1893,tour,63
258,houston,63
6364,denies,63
1943,need,63
72,questions,63
1348,victory,63
4607,envoy,63
221,chris,62
2715,center,62
1848,latest,62
3318,kurdish,62
4731,suspect,62
271,likely,62
225,signs,62
12137,launch,62
398,days,62
2283,made,62
1829,coast,62
2813,like,62
282,ends,62
1926,pictures,62
2604,capital,62
2675,drug,61
721,tuesday,61
2089,young,61
6185,offer,61
88,corrections,61
4530,rejects,61
662,focus,61
946,jeb,61
726,michael,60
2893,workers,60
4442,shot,60
802,history,60
591,abuse,60
1368,oregon,60
73,book,60
2586,film,60
226,st,60
1883,afghan,59
4427,voters,59
2656,governor,59
105,watch,59
2705,national,59
1019,h,59
6733,agree,59
8171,spanish,59
700,quarter,59
3328,strong,59
811,returns,59
43,line,59
278,arrest,59
2966,steps,59
1602,island,58
2303,palestinian,58
746,india,58
907,things,58
13068,shutdown,58
2119,woman,58
6980,asks,57
683,study,57
357,another,57
2662,car,57
4098,money,57
5398,senators,57
6359,qatar,57
731,scandal,57
3975,question,57
4954,act,57
3393,afghanistan,57
3937,economic,57
689,mayor,57
3592,director,57
3201,rule,56
979,pope,56
1912,monday,56
11384,reform,56
568,online,56
5932,climate,56
551,christie,56
807,arabia,56
1001,stage,56
3658,efforts,56
3241,water,56
171,loss,56
157,crash,56
184,run,56
1834,moves,56
1609,evening,56
8255,lebanon,55
1353,hold,55
3702,union,55
2592,ryan,55
372,african,55
2867,led,55
241,raises,55
1044,los,55
3350,fund,55
16739,fbi,55
